"沖縄タイムス社 (Okinawa Times Co., Ltd.)",Media,"['News publishing', 'digital content', 'local journalism', 'and community engagement.']","沖縄タイムス社 is a media company based in Okinawa, Japan, which operates the Okinawa Times newspaper and its online platform, 沖縄タイムス＋プラス. The company specializes in delivering the latest news, editorials, cultural content, and community issues primarily related to Okinawa. Its products include printed newspapers, electronic newspapers, and various digital media offerings, aiming to inform and engage the local population on a range of topics including politics, economy, society, culture, and sports. Through its membership and subscription services, 沖縄タイムス社 also offers exclusive content and interactive user experiences to its readers.",none,https://www.okinawatimes.co.jp/,"Okinawa Times Co., Ltd."
KONICA MINOLTA,Medical Device,"['Digital Radiography', 'Computed Radiography', 'X-ray Systems', 'Laser Imaging', 'Ultrasound technology']","KONICA MINOLTA is a global provider of advanced imaging solutions and technologies for the healthcare sector. The company specializes in medical devices including digital and computed radiography systems, X-ray systems, laser imagers, workstations, and ultrasound technologies. By combining innovative imaging technology with user-friendly applications, KONICA MINOLTA delivers value-added solutions for diagnostic imaging, ensuring high-quality images and efficient workflow in clinical settings. The company's educational initiatives, like the KM Ultrasound Educational mobile app, reflect their commitment to enhancing healthcare professionals' skills and knowledge in the evolving field of medical imaging.",none,https://www.konicaminolta.com/global-en/healthcare/index.html,Konica Minolta Healthcare
Medical DOC (メディカルDOC),Healthcare Provider,['Medical consultation and health management services'],"Medical DOC is a healthcare provider that offers an array of services centered around medical consultation and health management. The company leverages technology to enhance the accessibility and efficiency of healthcare delivery, providing resources for both patients and healthcare professionals. Its offerings include medical evaluations, health assessments, and personalized care plans aimed at improving patient outcomes. Medical DOC also collaborates with medical professionals to ensure comprehensive and continuous care for users, integrating digital solutions to streamline health services and promote effective communication between patients and providers.",none,https://clinic.medicaldoc.jp/,Medical DOC Clinic
Eating Recovery Center,Foundation,"['Treatment of eating disorders and mood & anxiety disorders', 'education', 'evidence-based research support.']","Eating Recovery Center is focused on improving the understanding and treatment of eating disorders as well as mood and anxiety disorders. The organization promotes education, provides resources, and supports aligned organizations to enhance the lives of individuals at risk for or experiencing these disorders. They offer various treatment modalities including inpatient, residential, and outpatient services tailored for adults and children. Additionally, they provide aftercare support, nutrition programs, and host support groups and educational events. Through the Eating Recovery and Pathlight Foundation, they also champion research and awareness initiatives, helping individuals access necessary care, particularly those facing financial hardships.",2012,https://www.eatingrecoverycenter.com/about-us/foundation,ERC Pathlight
Greenlight Health Data Solutions,Healthcare IT,"['Digital health data management', 'patient-consented medical records access', 'healthcare connectivity', 'electronic health record (EHR) solutions', 'data security and privacy compliance.']","Greenlight Health Data Solutions is a pioneering provider of digital health data solutions, focusing on enhancing access to patient-consented medical records across various electronic health record (EHR) systems. Established over 25 years ago, previously known as Medfusion, Greenlight has revolutionized the healthcare landscape by enabling instant access to patient health records, allowing healthcare providers, insurers, and life science organizations to improve patient outcomes efficiently. The company's platform accelerates data sharing from weeks to minutes while adhering to strict security and privacy standards including HITRUST and HIPAA compliance. Greenlight empowers patients with control over their digital records, creating a more connected healthcare ecosystem.",none,https://greenlighthealth.com/,Greenlight Health Data Solutions
Department of Education and Early Learning (DEEL),Government,"['Education', 'Early Learning', 'Child Care Assistance', 'School-Based Health Services', 'Family Support Services']","The Department of Education and Early Learning (DEEL) in Seattle is dedicated to promoting educational equity and supporting the development of children from infancy through their early schooling years. Its portfolio includes various programs such as the Seattle Preschool Program (SPP), child care assistance, and wraparound services for families. DEEL aims to provide high-quality education, ensure access to essential resources, and promote family engagement. The department is also involved in funding opportunities for educational programs and community support, focusing on culturally specific and responsive investments to address the diverse needs of Seattle's communities. Additionally, DEEL oversees initiatives that enhance mental health support and other critical services for youth and families.",none,https://www.seattle.gov/education,Department of Education and Early Learning (DEEL)
"Merck & Co., Inc. (known as MSD outside of the United States and Canada)",Pharmaceutical,"['Oncology', 'Vaccines', 'Infectious Diseases', 'Cardio-Metabolic Disorders', 'Immunology', 'Neuroscience']","Merck & Co., Inc., known as MSD outside the U.S. and Canada, is a leading global biopharmaceutical company that utilizes cutting-edge science to develop innovative medicines and vaccines. With over 130 years of experience, Merck is dedicated to improving health by addressing significant healthcare challenges. Its broad portfolio includes key products across various therapeutic areas, including oncology, vaccines, and infectious diseases. The company is committed to exploring immuno-oncology with one of the industry's largest development programs across more than 30 tumor types. Additionally, Merck focuses on enhancing access to its cancer medicines, striving to deliver significant advancements in the treatment and prevention of diseases worldwide.",1891,https://www.merck.com/news/merck-and-moderna-announce-exercise-of-option-by-merck-for-joint-development-and-commercialization-of-investigational-personalized-cancer-vaccine/,Merck
"Moderna, Inc.",Pharmaceutical,"['mRNA technology', 'transformative medicines', 'vaccine development']","Moderna, Inc. is a leading biotechnology company that focuses on pioneering messenger RNA (mRNA) technology to develop a new generation of transformative medicines. The company aims to leverage mRNA science to create innovative treatments and vaccines for various diseases, including those with currently no existing therapies. With over 45 products in their global pipeline and 36 ongoing clinical trials, Moderna is dedicated to making medicines accessible without animal products or preservatives. Their platform facilitates rapid design, research, and testing of multiple mRNAs, enabling them to deliver breakthrough medical advancements faster than traditional methods.",none,https://www.modernatx.com/,Moderna
A1 Garage Door Service,Others,"['Garage Door Installation', 'Garage Door Repair', 'Garage Door Openers', 'Garage Door Springs', 'Garage Storage Solutions', 'Custom Garage Doors', '24-Hour Emergency Services']",,none,https://a1garage.com/,Garage Door Service
UNIONCOMMUNITY,Medical Device,"['Biometric technologies (face recognition', 'iris recognition', 'fingerprint recognition)', 'contactless biometric recognition', 'fever screening systems', 'access control solutions.']","UNIONCOMMUNITY is a biometric company specializing in a range of advanced technologies, including face recognition, iris recognition, fingerprint recognition, and live fake finger detection. The company offers various products such as the UBio-X series for face and iris recognition, fingerprint scanners equipped with secure chips, and contactless fever screening systems that enable efficient access control. With a network of 150 partners across 100 countries, UNIONCOMMUNITY provides innovative solutions in fields such as visitor management, thermal detection, and biometric access control, catering to diverse needs in security and healthcare.",2000,https://unioncomm.co.kr/en/,Union Community
