NAME,URL
"JETRO, ITO EN",https://www.jetro.go.jp/
PeaceMind,https://www.peacemind.co.jp/en
BitLab,https://www.bitlab.co/news/bitlab-teams-up-with-scope-technologies-and-global-care-innovations-to-advance-healthcare-ai
Ancor Capital Partners,http://www.ancorcapital.com/
"Intermountain Children's Health, Broad Clinical Labs",https://intermountainhealthcare.org/services/pediatrics
Gachon University Gil Hospital,http://www.gilhospital.com
"Tyson Foods, Mark Cuban Cost Plus Drugs",https://www.tysonfoods.com/
Acquired by EOM sp z o. o.,https://www.eom.com.pl/
Konica Minolta Healthcare,https://www.konicaminolta.com/medicalusa/
Scope Technologies,https://www.scopetechnologies.io/
"Okinawa Times Co., Ltd.",https://www.okinawatimes.co.jp/
Konica Minolta Healthcare,https://www.konicaminolta.com/global-en/healthcare/index.html
Medical DOC Clinic,https://clinic.medicaldoc.jp/
ERC Pathlight,https://www.eatingrecoverycenter.com/about-us/foundation
Greenlight Health Data Solutions,https://greenlighthealth.com/
Department of Education and Early Learning (DEEL),https://www.seattle.gov/education
Merck,https://www.merck.com/news/merck-and-moderna-announce-exercise-of-option-by-merck-for-joint-development-and-commercialization-of-investigational-personalized-cancer-vaccine/
Moderna,https://www.modernatx.com/
Garage Door Service,https://a1garage.com/
Union Community,https://unioncomm.co.kr/en/
Tsuruoka City Shonai Hospital,https://www.shonai-hos.jp/
"Hanyang University Rheumatology Hospital, Hanyang University Rheumatology Research Institute",https://www.hyumc.com/eng/departments/departments.do?action=intro&mediofCd=RM
Avocado Green Mattress,https://www.avocadogreenmattress.com/
Manipal Academy of Higher Education,https://www.manipal.edu/mu.html
Sutter,https://www.sutterhealth.org/
Meaningful Insights Biotech Analytics (MiBA),https://www.mibanalytics.com/
Busha,https://www.busha.ng/
Pennant Group,https://pennantgroup.com/
"Staten Island Performing Provider System, Columbia University's Mailman School of Public Health",https://statenislandpps.org/
"Premier, Inc.",https://premierinc.com/
Florida Department of Health,https://www.floridahealth.gov/
Plandent Division,https://www.plandent.com/
Mindsprint,https://www.mindsprint.org/
Genohelix,https://www.cellto.co.kr/Product2
"Kukdae, Udi, Genoplan Korea",https://www.genoplan.com/en-int
"Genoplan Korea, Udi, Kukdae",https://www.genoplan.com/en-int
"Gilead Sciences, Inc.",https://www.gilead.com/
Gilead Sciences Inc.,https://www.gilead.com/
Novartis Korea,https://www.novartis.com/kr-ko/
