"Okinawa Times Co., Ltd.",https://prtimes.jp/main/html/rd/p/000000670.000037194.html
Acquired by EOM sp z o. o.,https://mamstartup.pl/akwizycja-na-rynku-medtech-telemedi-nabywa-100-udzialow-w-eom/
Konica Minolta Healthcare,https://www.globenewswire.com/news-release/2024/12/04/2991585/0/en/Konica-Minolta-Healthcare-and-Gleamer-Partner-to-Provide-Best-in-Class-AI-Powered-Solution-with-Konica-Minolta-s-Portfolio-of-Advanced-X-ray-Systems.html
Medical DOC Clinic,
ERC Pathlight,https://hitconsultant.net/2024/12/19/talkiatry-and-erc-pathlight-partner-to-bridge-gaps-in-eating-disorder-and-mood-disorder-care/
Greenlight Health Data Solutions,
Amazon Health Services,http://www.businesswire.com/news/home/20241205664764/en/Hinge-Health-Partners-with-Amazon-Health-Services-to-Expand-Access-to-MSK-Care
Department of Education and Early Learning (DEEL),
"Merck, Moderna",https://hitconsultant.net/2024/12/19/personalis-secures-50m-from-merck-extends-collaboration-with-moderna/
Acquired by A1 Garage Door Service,https://www.prnewswire.com/news-releases/a1-garage-door-service-acquires-the-garage-doctor-302336080.html
Union Community,https://www.venturesquare.net/951589
Tsuruoka City Shonai Hospital,https://prtimes.jp/main/html/rd/p/000000025.000075935.html
"Hanyang University Rheumatology Hospital, Hanyang University Rheumatology Research Institute",https://www.medipana.com/article/view.php?page=1&sch_menu=1&news_idx=335660
Avocado Green Mattress,https://www.prnewswire.com/news-releases/avocado-green-mattress-partners-with-sika-health-to-simplify-paying-with-hsafsa-funds-for-organic-non-toxic-sleep-products-302313675.html
Manipal Academy of Higher Education,https://www.livemint.com/focus/5cnetwork-and-manipal-academy-of-higher-education-mahe-partner-to-establish-ai-centre-of-excellence-11734680348109.html
Sutter,
Meaningful Insights Biotech Analytics (MiBA),
Busha,https://www.prnewswire.com/news-releases/busha-partners-with-plume-network-to-bring-on-chain-yields-to-nigerian-users-302337458.html
"I&NA, UDI, Kookdae",https://www.hankyung.com/article/202412183740P
"Ianna, Udi, Kukdae",https://www.venturesquare.net/951235
Pennant Group,https://www.globenewswire.com/news-release/2024/12/17/2998457/0/en/Kno2-and-Pennant-Announce-Strategic-Partnership-to-Revolutionize-Patient-Care-through-QHIN-services.html
"Staten Island Performing Provider System, Columbia University's Mailman School of Public Health",https://www.prnewswire.com/news-releases/epicured-partners-with-staten-island-performing-provider-system-and-columbia-universitys-mailman-school-of-public-health-to-launch-new-fair-start-initiative-302333005.html
"Premier, Inc.",http://www.businesswire.com/news/home/20241218912145/en/VSee-Health-Awarded-Teleradiology-Services-Agreement-with-Premier-Inc.
Florida Department of Health,https://www.prnewswire.com/news-releases/healthy-together-expands-work-with-the-florida-department-of-health-in-strengthening-disease-outbreak-response-302330058.html
Plandent Division,http://www.businesswire.com/news/home/20241210185771/en/Plandent-and-Pearl-Partner-to-Expand-European-Distribution-of-Second-Opinion-the-First-and-Only-Chairside-Dental-AI-Software-with-Global-Regulatory-Clearance
Mindsprint,
Genohelix,https://www.hankyung.com/article/202412095611i
"Kukdae, Udi, Genoplan Korea",https://www.hankyung.com/article/202412183740P
"Genoplan Korea, Udi, Kukdae",https://www.venturesquare.net/951235
"Gilead Sciences, Inc.",http://www.businesswire.com/news/home/20241217141411/en/Gilead-and-Terray-Therapeutics-Announce-Multi-Target-Research-Collaboration-to-Discover-and-Develop-Novel-Small-Molecule-Therapies
Gilead Sciences Inc.,https://www.bioworld.com/articles/715490-gilead-and-terray-therapeutics-collaborate-on-drug-discovery
Novartis Korea,https://www.medipana.com/article/view.php?page=1&sch_menu=1&news_idx=335695
