NAME,Original Name,Type_name,Type_ID,Industry ,Specialities,Description,Founded,Is_Corprate,Websites,
Forestry Cooperative Mutual Aid,산림조합중앙회 (Korea Forest Cooperative Federation),Association,7,"Healthcare and Staffing (介護業界, which translates to the caregiving industry)","['Forest management', 'cooperative services', 'financial services for forestry', 'cultural events related to forestry', 'community service programs']","The Korea Forest Cooperative Federation is a central association dedicated to supporting and promoting forest management and cooperative initiatives in South Korea. The organization provides various services including financial operations tailored for the forestry sector, community engagement through cultural events, ethical management practices, and information disclosure. It also emphasizes social contributions, safety and health management, and actively works on consumer protection related to financial services. The federation engages with multiple stakeholders and offers resources such as education programs, promotional materials, and internal governance frameworks to foster collaboration and innovation within the forestry community.",none,TRUE,https://www.nfcf.or.kr/forest/user.tdf?a=user.index.IndexApp&c=1006&mc=KOR,
Amazon Health Services,,,#N/A,,,,,TRUE,https://health.amazon.com/,
Amazon Health Services,,,#N/A,,,,,TRUE,https://health.amazon.com/,
Mango Voice,Mango Voice,Telecommunication,2,Telecommunications,"['Business communication solutions', 'phone systems', 'integration with existing programs']","Mango Voice is a telecommunications company that specializes in making business communication simple and efficient. They offer a range of products and services, including customizable phone systems that can be configured using their user-friendly drag-and-drop interface. The company provides solutions tailored for various industries such as dental, hospitality, optometry, orthodontics, and veterinary. Additionally, Mango Voice empowers businesses to integrate their existing practice management systems (PMS) or electronic practice systems (PES) without service interruptions. They also offer comprehensive support options, including a U.S. support team available via phone and email, making communication flexible and reliable for businesses.",None,TRUE,https://mangovoice.com/,
Amazon Health Services,,,#N/A,,,,,TRUE,https://health.amazon.com/,
Timee,"株式会社タイミー (Timee, Inc.)",Recruitment,136,"Healthcare and Staffing (介護業界, which translates to the caregiving industry)","['Skima-baito (flexible part-time job services)', 'support for the nursing care industry', 'workforce recruitment and training']","株式会社タイミー (Timee, Inc.) offers a flexible part-time job service called ""スキマバイト"" (Skima-baito) aimed primarily at the nursing care sector in Japan. The company addresses the growing need for labor in this industry, particularly in light of the 2025 problem related to Japan's aging population. Timee has developed a specialized team focused on the nursing care market, offering services that include detailed job segmentation based on qualifications and skills. As of February 2024, it boasts a network of over 230,000 qualified nursing care workers, enabling the rapid expansion of job offerings — reported to be approximately 3.6 times more than the previous year in terms of vacancies and 4.0 times more in facilities utilizing their service. Timee also provides training opportunities in collaboration with established educational institutions to meet the demand for qualified personnel in the healthcare sector.",None,TRUE,https://corp.timee.co.jp/news/detail-2631/,
Marshall Health Network,Marshall Health Network,Healthcare Provider,3,Healthcare,"['Academic health system', 'patient care', 'education', 'community well-being', 'healthcare disparities', 'public health issues', 'medical research', 'clinical trials']","Marshall Health Network is a not-for-profit academic health system dedicated to excellence in patient care, education, and community well-being. It serves 1.4 million residents across West Virginia, southern Ohio, and eastern Kentucky, addressing healthcare disparities and public health issues while ensuring access to the latest medical research and clinical trials for its patients. The network promotes a collaborative approach to healthcare, emphasizing compassion, quality, and consistency. Its services include a range of healthcare facilities, wellness programs, telehealth services, low-cost screenings, and community outreach initiatives.",none,TRUE,https://marshallhealthnetwork.org/,
Orion Corporation,Orion Corporation,Pharmaceutical,24,Pharmaceuticals and Healthcare,"['Medicine safety', 'Medicines and self-care products', 'Veterinary medicines', 'Active pharmaceutical ingredients', 'Research in oncology', 'pain management', 'respiratory diseases', 'neurological diseases', ""women's health"", 'and overall health and well-being.']","Orion Corporation is a pharmaceutical company focused on building well-being by providing a range of high-quality medicines and well-being products. With a commitment to scientific research and collaboration with healthcare professionals and leading research institutes, Orion develops reliable drugs and products in various therapeutic areas including pain management, oncology, respiratory diseases, and women's health. The company also emphasizes patient safety, the correct use of medicines, and engages in sustainable practices to enhance healthcare outcomes globally.",none,TRUE,https://www.orion.fi,
HealthEC,HealthEC,Healthcare IT,203,Healthcare Technology / Population Health Management,"['Population Health Management', 'Data Aggregation & Management', 'Data Analytics', 'Care Management', 'Quality Management', 'Decision Support System']","HealthEC is a modern, fully integrated population health management platform that empowers value-based care organizations to leverage insights from micro-level data to inform macro-level strategies. The company focuses on enhancing oncology models, providing advisory solutions, improving financial performance, and ensuring compliance, all through data-driven decision making. HealthEC’s AI-enabled solutions facilitate real-time intelligence and actionable insights, ultimately aiming to improve patient outcomes and optimize revenue. The platform boasts advanced integration capabilities, supporting over 250 data sources and the ability to analyze both structured and unstructured data. HealthEC also offers robust advisory services to assist clients in developing population health strategies, guided by governance and stakeholder engagement. The company has been recognized for its ability to streamline quality measures and regulatory reporting, boasting certifications from reputable organizations like NCQA and CMS.",none,TRUE,https://healthec.com/,
Family Health Services of Darke County,"Family Health Services of Darke County, Ohio",Healthcare Provider,3,Healthcare,"['Family Medicine', 'Specialty Care', 'Pediatrics', 'Women’s Care', 'Dental', 'Internal Medicine', 'Eyecare', 'Behavioral Health', 'Home Health', 'Pharmacy', 'Telemedicine']","Family Health Services of Darke County is a federally qualified health center dedicated to providing high-quality and affordable healthcare throughout Darke County, Ohio. Established through volunteer efforts in 1964, the organization has continued to deliver compassionate and professional care across multiple locations. Its services encompass a broad spectrum, including family medicine, pediatrics, specialty care, dental care, internal medicine, behavioral health, pharmacy services, and telemedicine. Family Health Services emphasizes accessibility, offering a sliding discount program and accepting Medicaid and Medicare, aiming to build healthy lives together in the community.",none,TRUE,https://familyhealthservices.org/,
